[Thursday/January 08/01/2026 17:32:58] /home/niconico/.local/share/Anki2/User 1/collection.media/lovelivesuperstars03e12_09m52s724ms_10m02s234ms.mp3 | length=9.51 | time=9.2695210259433
[Thursday/January 08/01/2026 17:41:33] /mnt/GAME_DISK/[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]/Season 3/Love Live! Superstar!! - S03E12.mkv | length=1422.098 | time=1422.091
[Saturday/January 10/01/2026 06:45:17] /mnt/GAME_DISK/[Rev][DBD-Raws][4K][幻想万华镜][01-18全集+合集版][带配音音轨][2160P][BDRip][HEVC-10bit][简繁外挂][AAC+FLAC][MKV]/[DBD-Raws][4K][Gensou Mangekyou ~The Memories Of Phantasm~][04][2160P][BDRip][HEVC-10bit][AAC+FLAC].mkv | length=1127.607 | time=995.036
[Saturday/January 10/01/2026 06:56:17] /mnt/GAME_DISK/[YuushaNi] Love Live! School Idol Project Complete (BD HEVC 1920x1080 AAC)/Love Live! School Idol Project/NC/[YuushaNi] Love Live! - NCED01 (BD HEVC 1920x1080 AAC).mkv | length=117.013 | time=116.971
[Saturday/January 10/01/2026 06:56:51] /mnt/GAME_DISK/[YuushaNi] Love Live! School Idol Project Complete (BD HEVC 1920x1080 AAC)/Love Live! School Idol Project/[YuushaNi] Love Live! - 01 (BD HEVC 1920x1080 AAC).mkv | length=1423.026 | time=24.671
[Saturday/January 10/01/2026 07:20:41] /mnt/GAME_DISK/[YuushaNi] Love Live! School Idol Project Complete (BD HEVC 1920x1080 AAC)/Love Live! School Idol Project/[YuushaNi] Love Live! - 01 (BD HEVC 1920x1080 AAC).mkv | length=1423.026 | time=1422.984
[Saturday/January 10/01/2026 08:06:12] /mnt/GAME_DISK/[YuushaNi] Love Live! School Idol Project Complete (BD HEVC 1920x1080 AAC)/Love Live! School Idol Project/[YuushaNi] Love Live! - 02 (BD HEVC 1920x1080 AAC).mkv | length=1419.982 | time=1419.94
[Saturday/January 10/01/2026 08:31:57] /mnt/GAME_DISK/[YuushaNi] Love Live! School Idol Project Complete (BD HEVC 1920x1080 AAC)/Love Live! School Idol Project/[YuushaNi] Love Live! - 03 (BD HEVC 1920x1080 AAC).mkv | length=1419.982 | time=1419.94
[Saturday/January 10/01/2026 08:54:25] /mnt/GAME_DISK/[YuushaNi] Love Live! School Idol Project Complete (BD HEVC 1920x1080 AAC)/Love Live! School Idol Project/[YuushaNi] Love Live! - 04 (BD HEVC 1920x1080 AAC).mkv | length=1420.107 | time=1420.065
[Saturday/January 10/01/2026 09:18:02] /mnt/GAME_DISK/[YuushaNi] Love Live! School Idol Project Complete (BD HEVC 1920x1080 AAC)/Love Live! School Idol Project/[YuushaNi] Love Live! - 05 (BD HEVC 1920x1080 AAC).mkv | length=1419.982 | time=1419.94
